Keyword,TF-IDF Score
coffee,1611.3578030320118
morning,380.4922913317439
good,319.71838915224566
im,314.86242024222435
day,274.3486064889652
need,260.57366955284454
cup,236.85155588602942
time,223.47529025610635
today,211.8052484136719
amp,197.29806774365204
work,195.44279996948111
like,177.08637295108596
drinking,168.21845935485084
got,160.33067402867212
going,143.15210808553732
make,136.17008885885738
love,132.94670484839176
want,116.75579485971465
dont,116.47324921143141
drink,116.25320005334838
